song_a,song_b,interval_similarity,duration_similarity,contour_similarity,beat_similarity,beat_available,final_score,note_count_difference,average_pitch_difference,average_duration_difference,pitch_range_difference,pair
004,005,0.839026,0.812439,0.775956,0.768278,True,0.811361,211,2.567264,0.238978,2,004 vs 005
001,004,0.841888,0.807134,0.794677,0.772341,True,0.815065,108,9.226107,0.676454,6,001 vs 004
002,004,0.874865,0.807116,0.779935,0.774469,True,0.825515,154,1.13445,0.589654,2,002 vs 004
003,004,0.910926,0.797291,0.738717,0.782936,True,0.829595,266,3.375896,0.70705,1,003 vs 004
003,005,0.873911,0.800159,0.807601,0.835149,True,0.834647,55,5.94316,0.468072,3,003 vs 005
002,005,0.852231,0.818897,0.822404,0.842123,True,0.835255,57,3.701714,0.350676,0,002 vs 005
001,003,0.888757,0.790555,0.805226,0.834026,True,0.837117,158,12.602003,0.030596,5,001 vs 003
001,002,0.852481,0.812571,0.838188,0.86335,True,0.838736,46,10.360557,0.0868,8,001 vs 002
001,005,0.842668,0.842577,0.830601,0.84043,True,0.840004,103,6.658843,0.437476,8,001 vs 005
002,003,0.902613,0.840579,0.752969,0.83512,True,0.847325,112,2.241446,0.117396,3,002 vs 003
